,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
53,https://www.musinsa.com/app/styles/views/30028?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,not shown,0,0,0,0,0,not shown,not shown,cream,not shown,0
54,https://www.musinsa.com/app/styles/views/30027?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,0,0,0,0,not shown,0,0,0,0,0,0,not shown,not shown,not shown,not shown
55,https://www.musinsa.com/app/styles/views/30026?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,0,0,0,0,not shown,0,0,0,0,0,0,not shown,not shown,not shown,not shown
56,https://www.musinsa.com/app/styles/views/30025?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,0,0,0,0,0,0,0,not shown,not shown,not shown,not shown
57,https://www.musinsa.com/app/styles/views/29994?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,not shown,0,0,0,0,0,0,not shown,0,not shown,not shown,not shown,0,0
58,https://www.musinsa.com/app/styles/views/29993?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,not shown,0,0,0,cream,0,0,0,cream,0,not shown,not shown,0,0,0
59,https://www.musinsa.com/app/styles/views/29992?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=1,navy,0,0,0,not shown,not shown,0,0,brown,0,brown,navy,0,0,0
60,https://www.musinsa.com/app/styles/views/29991?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=2,not shown,not shown,0,0,not shown,0,0,0,not shown,0,not shown,not shown,0,0,0
61,https://www.musinsa.com/app/styles/views/29990?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=2,not shown,0,0,0,not shown,0,0,0,not shown,0,grey,not shown,not shown,not shown,0
62,https://www.musinsa.com/app/styles/views/29989?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=date&page=2,not shown,0,0,0,not shown,0,0,0,not shown,0,not shown,not shown,not shown,not shown,0
